skills
"['Git', 'Cloud', 'Python', 'Docker', 'Kubernetes', 'React', 'Other languages', 'Flask']"
"['CodeReview', 'Git', 'TypeScript', 'Flask', 'React', 'JavaScript', 'Python']"
"['Quality Assurance', 'Automated Testing', 'Manual Testing', 'Jira']"
"['Git', 'Cloud', 'Python', 'Docker', 'Kubernetes', 'React', 'Other languages', 'Flask']"
"['English', 'TypeScript', 'HTML5 / CSS3', 'JavaScript', 'Node.js', 'AI', 'Docker']"
"['AI', 'Machine Learning', 'AWS', 'NLP', 'PyTorch', 'Docker', 'TensorFlow', 'GCP', 'Kubernetes', 'Python']"
"['Git', 'Cloud', 'Python', 'Docker', 'Kubernetes', 'React', 'Flask']"
"['AWS', 'TypeScript', 'Node.js', 'Linux', 'SQL', 'RESTful API']"
"['React', 'Redux', 'JavaScript', 'Material Design', 'Git', 'CI/CD', 'Polish', 'English', 'Scrum', 'Ruby on Rails']"
"['Ruby on Rails', 'PostgreSQL', 'GraphQL', 'Elasticsearch', 'Docker']"
"['AI', 'AI/ML']"
"['AWS', 'Docker', 'GitLab', 'Terraform']"
"['Microsoft Dynamics 365', 'Microsoft Dynamics AX', 'BPMN', 'Power BI']"
"['AWS', 'REST API', 'Java', 'Spring Boot', 'Python']"
"['ABBY Timeline', 'process mining', 'Communication', 'Celonis', 'Analytical Thinking']"
"['Delphi', 'SQL Server', 'REST API', 'Agile']"
"['Microsoft Azure', '.NET Core', 'C#', '.Net Framework', 'ASP.NET Web API']"
"['Java', 'JavaScript', 'Selenium', 'Postman', 'SQL', 'SoapUI', 'HTML5 / CSS3', 'XPath', 'Gatling', 'JMeter']"
"['Selenium', 'SoapUI', 'Postman', 'Java', 'SQL', 'JavaScript', 'Gatling', 'HTML5 / CSS3', 'XPath', 'JMeter']"
"['Java', 'JavaScript', 'GCP']"
"['Git', 'Apache Kafka', 'Docker', 'Maven', 'Hibernate', 'SQL', 'Spring', 'REST', 'Spring Cloud', 'Oracle']"
"['Appian', 'Leadership', 'AWS', 'Agile']"
"['Jenkins', 'Linux', 'Python', 'CMake', 'Docker', 'Groovy']"
"['ServiceNow development', 'ServiceNow module', 'Integration tools', 'ServiceNow', 'Scripting', 'ServiceNow certifications']"
"['AWS', 'Proactivity', 'English', 'Python', 'Node.js', 'API Development']"
"['CI/CD', 'Azure DevOps', 'GitLab', 'Jenkins', 'Salesforce', 'SonarQube', 'Apex', 'JavaScript']"
"['Salesforce', 'Omnistudio', 'Communication']"
"['AWS', 'Angular', 'HTML', 'REST API', 'Java', 'CSS', 'JavaScript', 'Spring Boot']"
"['CI/CD', 'Scrum', 'Confluence', 'Jira', 'Scrum@Scale', 'English', 'Agile', 'Pharma']"
"['Doświadczenie w pracy z dziećmi', 'Scratch', 'Minecraft', 'LUA', 'Roblox', 'Java', 'JavaScript', 'Python']"
"['Computer science', 'SAP MDM', 'SAP', 'Information technology', 'MDG', 'SAP MDG']"
"['AWS', 'TypeScript', 'Node.js', 'Express.js', 'Vue.js', 'JavaScript', 'Nest.js', 'PHP', 'Python', 'Cloudflare']"
"['Node.js', 'Nest.js', 'TypeScript', 'PHP', 'MongoDB', 'TypeORM', 'React', 'React Native', 'Symfony', 'MySQL']"
"['Git', 'ESP32', 'ESP-IDF', 'C/C++', 'RTOS']"
"['Google Cloud Platform', 'Google Container Registry', 'Google Compute Engine', 'Docker', 'SQL', 'CI/CD', 'Network Security', 'Terraform']"
"['English', 'Deep Learning', 'Machine Learning', 'PyTorch', 'AI', 'NumPy', 'TensorFlow', 'Pandas', 'Cloud Platforms']"
"['C++', 'Git', 'Python', 'Docker', 'SQL', 'AWS']"
"['English', 'Windows Server', 'Microsoft Office', 'Microsoft SQL', 'MS SQL Server', 'VMware']"
"['SAC', 'SAP', 'BI', 'API', 'SQL', 'BTP']"
"['Linux', 'TCP', 'Oracle SQL']"
"['Azure Kubernetes Service', 'Azure', 'Git', 'Python', 'Ansible', 'Terraform', 'IaC', 'Artifactory', 'Azure DevOps', 'C#']"
"['Salesforce', 'API', 'Project Management']"
"['English', 'Genesys platforms', 'Genesys Cloud', 'Genesys Engage', 'Java', 'JavaScript']"
"['IAM', 'Powershell', 'Scripting', 'Microsoft Azure Cloud', 'Active Directory', 'Windows', 'Office 365', 'Linux', 'Amazon AWS', 'Azure DevOps']"
"['Kubernetes', 'Python', 'MLOps', 'Machine Learning', 'AWS', 'Azure', 'LLM']"
"['English', 'Spine 2D']"
"['English', '2D animations', 'Adobe Photoshop', 'Adobe Illustrator']"
"['.Net', 'VB.Net', 'C#', 'Cobol', 'MS SQL']"
"['Redis', 'Git', 'PostgreSQL', 'Django', 'GitHub', 'Python', 'Kubernetes']"
"['Nest.js', 'TypeScript', 'Node.js', 'React', 'Java']"
"['Microsoft 365 Security', 'Cybersecurity', 'EDR, DLP, IDS / IPS, AV']"
"['AWS', 'Golang', 'React', 'Kotlin', 'Redshift', 'LakeHouse']"
['English']
"['Data', 'Amazon AWS', 'DevOps', 'ETL', 'Microsoft SQL', 'Snowflake']"
"['TypeScript', 'Node.js', 'Angular', 'CSS3', 'HTML5', 'IntelliJ', 'RxJS', 'Java', 'HTTP', 'Spring']"
"['Microsoft Azure', 'CRM', 'Dynamics 365', 'Architecture']"
"['Selenium', 'Postman', 'Java']"
"['Magento 2', 'Git', 'PHP', 'OOP', 'MySQL', 'Unit/Integration Testing', 'Jenkins', 'Vagrant']"
"['CocoaPods', 'iOS SDK', 'Git', 'iOS', 'SwiftUI', 'Combine', 'Swift', 'English']"
"['PHP 7', 'Git', 'Scrum', 'Magento 2', 'Jira', 'MySQL', 'AWS', 'Docker']"
"['Java', 'Spring Boot', 'Apache Kafka', 'Docker', 'Kubernetes', 'AWS']"
"['AWS', 'Go', 'Kubernetes', 'NoSQL', 'Docker', 'Terraform']"
"['C', 'C++', 'Python', 'JavaScript']"
"['SharePoint', 'JavaScript', 'HTML', 'CSS', 'SQL']"
"['Linux', 'Windows', 'Networks', 'TCP/IP', 'Git', 'Algorithms', 'Programming', 'Virtualization', 'Containers']"
"['SAP', 'English', 'SAP HANA', 'TRM', 'ABAP']"
"['.Net', 'C#', 'Microsoft SQL Server', 'JavaScript', 'Azure', 'CI/CD', 'Agile', 'DevOps']"
"['Java 8+', 'REST API', 'Relacyjne Bazy Danych', 'SQL', 'Jenkins', 'Maven', 'Apache Tomcat']"
"['PHP', 'WordPress', 'HTML', 'JS', 'CSS', 'Google Analytics']"
"['.Net', 'Microsoft SQL Server', 'C#', 'Scrum', 'Unit Testing', 'Design Patterns', 'Agile']"
"['DevOps', 'PHP', 'Shell Scripting', 'Terraform', 'Linux', 'Agile']"
"['Automated Testing', 'C#', 'API Testing', 'English', 'Java', 'Selenium WebDriver']"
"['Front-End', 'JavaScript', 'React', 'TypeScript']"
